172705;3.865;964.149;108.87540
31409;2.242;942.931;107.31496
200110;9.865;877.786;101.58433
32430;3.149;826.699;66.82587
30644;90.222;902.334;496.27800
59689;1.918;806.266;73.77267
286095;56.715;854.86;455.78750
12167;32.462;830.209;431.33550
180463;2.923;800.071;67.12439
48290;47.927;843.538;445.73250
235046;75.335;869.305;472.32000
21460;3.445;793.897;114.97542
262737;4.974;795.26;79.51867
158585;3.168;786.902;81.89562
986;33.053;811.098;422.07550
12157;2.229;777.966;73.97946
115415;21.164;793.404;407.28400
274502;1.991;770.591;60.20735
164469;35.82;800.732;418.27600
299333;1.844;765.98;52.62116
167454;1.594;765.392;53.26211
294090;1.527;764.793;67.17860
224254;1.717;764.737;41.40423
25792;22.589;782.94;104.46979
105810;3.102;763.385;70.44924
125473;72.009;831.296;451.65250
192568;210.726;969.298;590.01200
290146;81.183;835.193;458.18800
245861;90.01;843.443;466.72650
41318;120.329;871.886;496.10750
75007;98.822;850.016;474.41900
297439;23.7;773.537;398.61850
132093;12.698;759.916;142.44843
169512;3.651;748.313;111.81700
142350;64.982;806.707;435.84450
39164;2.439;739.394;60.36873
209123;2.205;739.141;72.14200
172652;106.244;834.079;470.16150
181963;2.651;728.742;47.95242
18605;4.004;729.921;71.67148
74144;97.219;820.391;458.80500
110567;73.784;795.6;434.69200
127819;92.439;813.645;453.04200
113502;3.01;723.513;78.96952
233969;3.794;723.768;66.19031
226944;2.379;722.147;51.93481
73697;3.826;723.13;65.22824
147623;59.085;776.952;418.01850
165538;91.411;808.963;450.18700
95796;11.419;728.732;116.05250
